YEAR,GENDER,RACE,AGE_GROUP,COUNTY,Violent Crimes,Property Crime,Drug Offenses,Sex Offenses,All Other Offenses,Female Total,Male Total,State Total
2022,Female,White,70 and over,Napa County,0,0,0,0,0,0,6,0
2022,Female,White,70 and over,Nevada County,0,0,0,0,0,0,4,0
2022,Female,White,70 and over,Orange County,2,3,1,0,3,9,43,0
2022,Female,White,70 and over,Placer County,2,0,0,0,0,2,15,0
2022,Female,White,70 and over,Plumas County,2,0,0,0,0,2,1,0
2022,Female,White,70 and over,Riverside County,4,1,1,0,1,7,19,0
2022,Female,White,70 and over,Sacramento County,2,0,0,0,1,3,18,0
2022,Female,White,70 and over,San Bernardino County,3,0,1,0,1,5,8,0
2022,Female,White,70 and over,San Diego County,3,0,0,0,4,7,47,0
2022,Female,White,70 and over,San Francisco County,0,0,0,0,0,0,16,0
2022,Female,White,70 and over,San Joaquin County,2,0,0,0,0,2,6,0
2022,Female,White,70 and over,San Luis Obispo County,2,0,0,0,2,4,10,0
2022,Female,White,70 and over,San Mateo County,1,0,0,0,0,1,12,0
2022,Female,White,70 and over,Santa Barbara County,1,0,0,0,0,1,11,0
2022,Female,White,70 and over,Santa Clara County,2,1,0,0,0,3,21,0
2022,Female,White,70 and over,Santa Cruz County,3,0,0,0,1,4,21,0
2022,Female,White,70 and over,Shasta County,1,0,0,0,2,3,15,0
2022,Female,White,70 and over,Siskiyou County,1,0,0,0,3,4,3,0
2022,Female,White,70 and over,Solano County,0,0,0,0,0,0,5,0
2022,Female,White,70 and over,Sonoma County,0,2,0,0,1,3,21,0
2022,Female,White,70 and over,Stanislaus County,0,0,1,0,0,1,3,0
2022,Female,White,70 and over,Sutter County,2,0,0,0,0,2,4,0
2022,Female,White,70 and over,Tehama County,1,0,0,0,0,1,2,0
2022,Female,White,70 and over,Tulare County,1,0,0,0,0,1,6,0
2022,Female,White,70 and over,Tuolumne County,1,0,0,0,0,1,5,0
2022,Female,White,70 and over,Ventura County,1,1,0,0,0,2,46,0
2022,Female,White,70 and over,Yolo County,1,0,0,0,0,1,4,0
2022,Female,White,70 and over,Yuba County,0,0,0,0,0,0,1,0
2023,Male,Black,Under 18,Alameda County,123,91,1,1,34,250,62,1
2023,Male,Black,Under 18,Amador County,0,0,0,0,0,0,1,0
2023,Male,Black,Under 18,Butte County,1,6,0,0,3,10,8,0
2023,Male,Black,Under 18,Contra Costa County,41,58,0,2,28,129,53,0
2023,Male,Black,Under 18,El Dorado County,0,4,0,0,1,5,3,1
2023,Male,Black,Under 18,Fresno County,57,43,1,0,30,131,95,5
2023,Male,Black,Under 18,Humboldt County,0,0,0,0,0,0,1,0
2023,Male,Black,Under 18,Imperial County,0,0,0,1,0,1,1,0
2023,Male,Black,Under 18,Kern County,45,45,0,0,48,138,60,2
2023,Male,Black,Under 18,Kings County,6,2,0,0,2,10,8,0
2023,Male,Black,Under 18,Lake County,1,0,0,0,0,1,0,0
2023,Male,Black,Under 18,Los Angeles County,421,320,3,9,200,953,226,0
2023,Male,Black,Under 18,Madera County,3,0,0,1,2,6,11,0
2023,Male,Black,Under 18,Marin County,8,3,0,0,1,12,8,1
2023,Male,Black,Under 18,Merced County,8,2,0,1,4,15,10,7
2023,Male,Black,Under 18,Monterey County,1,0,0,0,1,2,10,0
2023,Male,Black,Under 18,Napa County,3,0,0,0,3,6,5,0
2023,Male,Black,Under 18,Nevada County,0,1,0,0,2,3,6,0
2023,Male,Black,Under 18,Orange County,21,18,0,2,7,48,39,0
2023,Male,Black,Under 18,Placer County,4,8,0,0,1,13,6,0
2023,Male,Black,Under 18,Plumas County,0,0,0,0,0,0,2,1
2023,Male,Black,Under 18,Riverside County,48,22,0,0,19,89,55,7
2023,Male,Black,Under 18,Sacramento County,154,147,0,4,80,385,156,1
2023,Male,Black,Under 18,San Benito County,1,0,0,0,0,1,1,0
2023,Male,Black,Under 18,San Bernardino County,114,99,1,4,45,263,180,3
2023,Male,Black,Under 18,San Diego County,88,53,1,0,42,184,109,0
2023,Male,Black,Under 18,San Francisco County,62,47,1,0,39,149,31,0
2023,Male,Black,Under 18,San Joaquin County,51,43,1,0,29,124,60,0
2023,Male,Black,Under 18,San Luis Obispo County,1,0,0,0,0,1,1,0
2023,Male,Black,Under 18,San Mateo County,8,28,0,0,5,41,36,0
2023,Male,Black,Under 18,Santa Barbara County,4,1,0,0,1,6,6,0
2023,Male,Black,Under 18,Santa Clara County,24,24,0,0,2,50,33,1
2023,Male,Black,Under 18,Santa Cruz County,1,0,0,0,0,1,1,0
2023,Male,Black,Under 18,Shasta County,1,0,0,0,2,3,1,2
2023,Male,Black,Under 18,Siskiyou County,1,0,0,0,0,1,3,0
2023,Male,Black,Under 18,Solano County,45,28,1,0,20,94,98,2
